Filename,Duration,File Size,Creation Date,Original Path
question_216.mp3,0:09,188.89 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_216.mp3
question_96.mp3,0:10,199.67 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_96.mp3
question_82.mp3,0:06,123.73 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_82.mp3
question_69.mp3,0:06,136.86 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_69.mp3
question_55.mp3,0:06,123.26 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_55.mp3
question_41.mp3,0:10,197.79 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_41.mp3
question_174.mp3,0:08,161.23 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_174.mp3
question_160.mp3,0:11,231.54 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_160.mp3
question_148.mp3,0:09,180.45 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_148.mp3
question_149.mp3,0:10,205.29 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_149.mp3
question_161.mp3,0:10,201.54 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_161.mp3
question_175.mp3,0:10,202.48 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_175.mp3
question_40.mp3,0:10,210.92 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_40.mp3
question_54.mp3,0:06,136.86 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_54.mp3
question_68.mp3,0:07,139.20 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_68.mp3
question_83.mp3,0:05,112.95 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_83.mp3
question_97.mp3,0:07,151.39 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_97.mp3
question_217.mp3,0:09,195.45 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_217.mp3
question_203.mp3,0:10,199.67 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_203.mp3
question_215.mp3,0:08,174.36 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_215.mp3
question_201.mp3,0:07,147.17 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_201.mp3
question_229.mp3,0:12,241.39 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_229.mp3
question_81.mp3,0:06,124.67 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_81.mp3
question_95.mp3,0:08,166.86 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_95.mp3
question_42.mp3,0:08,162.64 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_42.mp3
question_56.mp3,0:07,154.67 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_56.mp3
question_163.mp3,0:13,262.95 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_163.mp3
question_177.mp3,0:10,211.39 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_177.mp3
question_188.mp3,0:09,187.95 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_188.mp3
question_349.mp3,0:08,175.29 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_349.mp3
question_348.mp3,0:06,135.92 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_348.mp3
question_189.mp3,0:09,188.42 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_189.mp3
question_176.mp3,0:08,170.61 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_176.mp3
question_162.mp3,0:14,280.76 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_162.mp3
question_57.mp3,0:05,111.54 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_57.mp3
question_43.mp3,0:05,119.04 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_43.mp3
question_94.mp3,0:09,191.70 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_94.mp3
question_228.mp3,0:11,232.48 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_228.mp3
question_80.mp3,0:06,129.36 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_80.mp3
question_200.mp3,0:07,152.79 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_200.mp3
question_214.mp3,0:14,285.45 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_214.mp3
question_273.mp3,0:11,222.17 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_273.mp3
question_267.mp3,0:04,98.42 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_267.mp3
question_24.mp3,0:05,104.04 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_24.mp3
question_30.mp3,0:06,120.92 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_30.mp3
question_298.mp3,0:11,218.42 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_298.mp3
question_18.mp3,0:06,134.51 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_18.mp3
question_139.mp3,0:09,181.39 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_139.mp3
question_105.mp3,0:07,139.20 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_105.mp3
question_111.mp3,0:12,237.64 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_111.mp3
question_3.mp3,0:06,119.51 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_3.mp3
question_307.mp3,0:06,127.95 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_307.mp3
question_313.mp3,0:10,216.08 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_313.mp3
question_312.mp3,0:10,207.64 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_312.mp3
question_306.mp3,0:06,121.86 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_306.mp3
question_2.mp3,0:11,223.11 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_2.mp3
question_110.mp3,0:12,240.45 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_110.mp3
question_104.mp3,0:11,219.36 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_104.mp3
question_138.mp3,0:11,231.54 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_138.mp3
question_19.mp3,0:07,141.54 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_19.mp3
question_31.mp3,0:05,118.57 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_31.mp3
question_299.mp3,0:10,205.29 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_299.mp3
question_25.mp3,0:05,112.01 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_25.mp3
question_266.mp3,0:09,178.58 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_266.mp3
question_272.mp3,0:09,180.92 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_272.mp3
