Filename,File Size,Creation Date,Original Path
Sammys_Serenade_(Remastered)2_analysis 3.txt,1.83 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
in_this_alley_where_i_Hide_-_LIVE-broken_analysis2_1_1.txt,3.07 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Kings_and_Queens_of_Litter_(Remastered)1_2_analysis_1_1.txt,3.23 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Enchanted_Woods_Song_Adventure_analysis 2.txt,1.89 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Recycled_Symphony2_(Remastered)_analysis2_1_1.txt,2.80 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Love_in_Imperfection_(Remastered)2_analysis 2.txt,2.56 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Willow_whispers-322_analysis 1.txt,3.54 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
disco.html,327.74 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Echoes_of_the_Alley_Blues_analysis 2.txt,1.56 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Love_is_rubbish_Lets_Get_Trashy_analysis-1_1_1.txt,2.58 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Heartbeats in the Dark (1)_transcription.txt,1.78 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Echoes_of_the_Junkyard_v4_2_transcript 1.txt,1.16 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
From_Ashes_I_Will_Rise_transcript 1.txt,1.65 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Beautiful Mess_transcription.txt,1.74 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Willow_whispers-feels_analysis 2.txt,2.62 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Willow_whispers-og_analysis 2.txt,2.58 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Beautiful_Mess_Indie_Folk_Acoustic_transcript 1.txt,1.69 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Dusty_Rhymes_and_Grime_analysis 1.txt,2.89 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
in_this_alley_where_i_Hide_-_LIVE-og-best_2_analysis2_1_1.txt,2.26 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Sammys_Serenade_(Remastered)2_analysis 1.txt,2.96 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Willow_whispers-feels_analysis2_1_1.txt,2.85 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Sammys_Serenade_(Remastered)_analysis_1_1.txt,2.65 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Love_is_rubbish_Lets_Get_Trashy_transcript 1.txt,1.66 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Enchanted_Woods_Song_Adventure_analysis 1.txt,2.87 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Willow_whispers-og_analysis 3.txt,1.38 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Willow_whispers-feels_analysis 3.txt,1.08 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Witches_Road_(Remastered)_analysis_1_1.txt,1.99 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Echoes_of_Moonlight-v4_transcript 1.txt,1.11 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Echoes_of_the_Alley_Blues_analysis 1.txt,2.84 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Willow_whispers-322_analysis 2.txt,1.52 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Love_in_Imperfection_(Remastered)2_analysis 1.txt,3.62 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Enchanted_Woods_Song_Adventure_transcript_1_1.txt,2.48 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
albums-structure.txt,762.00 B,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
